Body,Department,Supplier Name,Invoice Creation Date,Invoice Nett Amount,Subj Description
Lambeth,Adults' and Community Services,170 Community Project,07/08/2012,1534.24,FLOATING SUPPORT SERVICES
Lambeth,Adults' and Community Services,229 Mitcham Lane Ltd,28/08/2012,5092.86,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,229 Mitcham Lane Ltd,28/08/2012,5092.86,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,229 Mitcham Lane Ltd,28/08/2012,6828.86,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,229 Mitcham Lane Ltd,28/08/2012,5143.78,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,229 Mitcham Lane Ltd,28/08/2012,10842.86,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,A.N.D Projects LLP,15/08/2012,520,REACTIVE MAINTENANCE
Lambeth,Adults' and Community Services,A.N.D Projects LLP,21/06/2012,3255.40,REACTIVE MAINTENANCE
Lambeth,Adults' and Community Services,AP Thompson Sports Engineering Limited,30/07/2012,41315.05,ENVIRONMENTAL IMPROVEMENTS
Lambeth,Adults' and Community Services,ASRA Greater London Housing Association Ltd,07/08/2012,2588.04,ACCOMMODATION BASED SERVICES
Lambeth,Adults' and Community Services,ASRA Greater London Housing Association Ltd,24/08/2012,2114.48,RESIDENTIAL CARE VOLUNTARY SPOT
Lambeth,Adults' and Community Services,ASRA Greater London Housing Association Ltd,24/08/2012,2435.72,RESIDENTIAL CARE VOLUNTARY SPOT
Lambeth,Adults' and Community Services,ASRA Greater London Housing Association Ltd,24/08/2012,1768.21,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Abbeyfield Dorcas Society,07/08/2012,806.36,ACCOMMODATION BASED SERVICES
Lambeth,Adults' and Community Services,Abbeyfield Society Ltd,07/08/2012,1119.24,ACCOMMODATION BASED SERVICES
Lambeth,Adults' and Community Services,Abbeyfield Stangrove Lodge,24/08/2012,2199.40,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Ability Housing Association,13/08/2012,4081.42,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Acacia Lodge,24/08/2012,840.49,NURSING CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Access 21,07/08/2012,8390.44,OTHER THIRD PARTY PAYMENTS
Lambeth,Adults' and Community Services,Acorn Residential Home,13/08/2012,2923.88,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Acorn Residential Home,20/08/2012,2923.88,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Acorn Residential Home,20/08/2012,1494.12,TRAVEL EXPENSES - CLIENTS
Lambeth,Adults' and Community Services,Acorn Residential Home,20/08/2012,2923.88,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
